Index,Similar Digits to Pi,,Similar Digits to Pi,Index
1495,1145,,,
1496,1146,,,
1497,1146,,,
1498,1147,,,
1499,1148,,,
1500,1147,,,
1501,1149,,,
1502,1150,,,
1503,1151,,,
1504,1152,,,
1505,1153,,,
1506,1153,,,
1507,1154,,,
1508,1155,,,
1509,1156,,,
1510,1156,,,
1511,1157,,,
1512,1157,,,
1513,1158,,,
1514,1159,,,
1515,1160,,,
1516,1161,,,
1517,1162,,,
1518,1161,,,
1519,1163,,,
1520,1163,,,
1521,1164,,,
1522,1166,,,
1523,1166,,,
1524,1166,,,
1525,1167,,,
1526,1168,,,
1527,1169,,,
1528,1170,,,
1529,1170,,,
1530,1171,,,
1531,1172,,,
1532,1173,,,
1533,1174,,,
1534,1175,,,
1535,1174,,,
1536,1176,,,
1537,1177,,,
1538,1178,,,
1539,1179,,,
1540,1179,,,
1541,1180,,,
1542,1181,,,
1543,1180,,,
1544,1182,,,
1545,1183,,,
1546,1184,,,
1547,1184,,,
1548,1186,,,
1549,1186,,,
1550,1187,,,
1551,1188,,,
1552,1189,,,
1553,1188,,,
1554,1190,,,
1555,1191,,,
1556,1190,,,
1557,1192,,,
1558,1193,,,
1559,1194,,,
1560,1194,,,
1561,1195,,,
1562,1196,,,
1563,1197,,,
1564,1198,,,
1565,1197,,,
1566,1199,,,
1567,1200,,,
1568,1200,,,
1569,1201,,,
1570,1202,,,
1571,1203,,,
1572,1204,,,
1573,1205,,,
1574,1205,,,
1575,1205,,,
1576,1207,,,
1577,1207,,,
1578,1208,,,
1579,1209,,,
1580,1210,,,
1581,1211,,,
1582,1211,,,
1583,1212,,,
1584,1213,,,
1585,1213,,,
1586,1214,,,
1587,1215,,,
1588,1216,,,
1589,1217,,,
1590,1218,,,
1591,1217,,,
1592,1219,,,
1593,1219,,,
1594,1221,,,
1595,1221,,,
1596,1222,,,
1597,1222,,,
1598,1224,,,
1599,1223,,,
1600,1225,,,
1601,1226,,,
1602,1227,,,
1603,1228,,,
1604,1227,,,
1605,1229,,,
1606,1230,,,
1607,1231,,,
1608,1230,,,
1609,1232,,,
1610,1233,,,
1611,1234,,,
1612,1234,,,
1613,1235,,,
1614,1236,,,
1615,1236,,,
1616,1237,,,
1617,1238,,,
1618,1237,,,
1619,1240,,,
1620,1239,,,
1621,1241,,,
1622,1242,,,
1623,1243,,,
1624,1243,,,
1625,1244,,,
1626,1245,,,
1627,1246,,,
1628,1247,,,
1629,1248,,,
1630,1248,,,
1631,1249,,,
1632,1250,,,
1633,1251,,,
1634,1250,,,
1635,1252,,,
1636,1253,,,
1637,1254,,,
1638,1254,,,
1639,1255,,,
1640,1256,,,
1641,1257,,,
1642,1257,,,
1643,1258,,,
1644,1258,,,
1645,1260,,,
1646,1259,,,
1647,1261,,,
1648,1262,,,
1649,1263,,,
1650,1263,,,
1651,1264,,,
1652,1265,,,
1653,1266,,,
1654,1266,,,
1655,1267,,,
1656,1268,,,
1657,1269,,,
1658,1270,,,
1659,1270,,,
1660,1271,,,
1661,1272,,,
1662,1273,,,
1663,1272,,,
1664,1274,,,
1665,1275,,,
1666,1276,,,
1667,1276,,,
1668,1277,,,
1669,1278,,,
1670,1279,,,
1671,1279,,,
1672,1280,,,
1673,1281,,,
1674,1282,,,
1675,1282,,,
1676,1283,,,
1677,1284,,,
1678,1285,,,
1679,1286,,,
1680,1286,,,
1681,1287,,,
1682,1288,,,
1683,1289,,,
1684,1289,,,
1685,1290,,,
1686,1291,,,
1687,1292,,,
1688,1292,,,
1689,1293,,,
1690,1294,,,
1691,1295,,,
1692,1295,,,
1693,1296,,,
1694,1297,,,
1695,1298,,,
1696,1299,,,
1697,1299,,,
1698,1300,,,
1699,1301,,,
1700,1302,,,
1701,1302,,,
1702,1303,,,
1703,1303,,,
1704,1305,,,
1705,1306,,,
1706,1306,,,
1707,1307,,,
1708,1308,,,
1709,1308,,,
1710,1309,,,
1711,1310,,,
1712,1310,,,
1713,1312,,,
1714,1311,,,
1715,1313,,,
1716,1313,,,
1717,1314,,,
1718,1315,,,
1719,1316,,,
1720,1317,,,
1721,1317,,,
1722,1319,,,
1723,1318,,,
1724,1320,,,
1725,1321,,,
1726,1322,,,
1727,1322,,,
1728,1323,,,
1729,1323,,,
1730,1325,,,
1731,1325,,,
1732,1326,,,
1733,1326,,,
1734,1328,,,
1735,1329,,,
1736,1329,,,
1737,1330,,,
1738,1331,,,
1739,1332,,,
1740,1333,,,
1741,1332,,,
1742,1334,,,
1743,1335,,,
1744,1336,,,
1745,1335,,,
1746,1337,,,
1747,1338,,,
1748,1339,,,
1749,1338,,,
1750,1340,,,
1751,1341,,,
1752,1342,,,
1753,1342,,,
1754,1343,,,
1755,1343,,,
1756,1345,,,
1757,1346,,,
1758,1345,,,
1759,1347,,,
1760,1348,,,
1761,1348,,,
1762,1349,,,
1763,1349,,,
1764,1351,,,
1765,1351,,,
1766,1352,,,
1767,1353,,,
1768,1354,,,
1769,1355,,,
1770,1355,,,
1771,1356,,,
1772,1357,,,
1773,1357,,,
1774,1359,,,
1775,1358,,,
1776,1360,,,
1777,1358,,,
1778,1361,,,
1779,1362,,,
1780,1363,,,
1781,1364,,,
1782,1364,,,
1783,1365,,,
1784,1366,,,
1785,1367,,,
1786,1368,,,
1787,1367,,,
1788,1369,,,
1789,1370,,,
